,actor_3_avg_gross,actor_3_avg_profit,actor_3_movie_count,actor_3_name,actor_3_top_profit,actor_3_tot_gross,actor_3_total_profit
0,261454783.0,0.293439947164,3,Wes Studi,2.20888543038,784364349.0,0.880319841491
1,86751364.6667,0.163208896667,3,Kristin Davis,0.314079,260254094.0,0.48962669
2,18860403.0,-0.24558388,1,Katharine McPhee,-0.24558388,18860403.0,-0.24558388
3,50023718.6667,-0.108125651782,3,Udo Kier,0.555579222222,150071156.0,-0.324376955345
4,55462563.6667,2.60680721111,3,Michael Jeter,7.209972,166387691.0,7.82042163333
5,69109351.0,-0.376112495066,4,Frank Langella,-0.0427301052632,276437404.0,-1.50444998026
6,3609278.0,-0.197938222222,1,Louise Lasser,-0.197938222222,3609278.0,-0.197938222222
7,37541715.0,-0.116356924581,4,Scott Glenn,0.280836978261,150166860.0,-0.465427698324
8,87789553.6667,0.155144956747,3,Mako,0.592135176471,263368661.0,0.46543487024
9,92202136.25,0.21444508269,4,Debi Mazar,0.84031112,368808545.0,0.857780330762
10,129971316.0,0.487659142222,2,Linda Fiorentino,1.77941794444,259942632.0,0.975318284444
11,18030516.0,-0.0948122211538,2,Kelly Preston,0.79952525,36061032.0,-0.189624442308
12,19389454.0,-0.647464472727,1,Richard Thomas,-0.647464472727,19389454.0,-0.647464472727
13,62777864.0,0.768212014583,4,Thomas F. Wilson,1.9625,251111456.0,3.07284805833
14,32959250.6667,1.00899763047,3,Gary Farmer,2.35965,98877752.0,3.0269928914
15,89716055.5,1.69685059159,2,Joe Morton,3.8499258,179432111.0,3.39370118318
16,34023994.75,3.48539327257,4,Blair Underwood,9.53858733333,136095979.0,13.9415730903
17,104339433.0,1.11166656329,5,Cedric the Entertainer,5.25624583333,521697165.0,5.55833281647
18,101334374.0,3.22226558333,1,Kevin Williamson,3.22226558333,101334374.0,3.22226558333
19,658672302.0,2.29336151,1,Gloria Stuart,2.29336151,658672302.0,2.29336151
20,22877808.0,-0.346348342857,1,Joe Komara,-0.346348342857,22877808.0,-0.346348342857
21,51676606.0,1.06706424,1,Kelly Macdonald,1.06706424,51676606.0,1.06706424
22,11445200.0,-0.412277232323,2,Brooke Smith,-0.257649555556,22890400.0,-0.824554464646
23,30736920.75,-0.651474805833,4,Matt Craven,-0.498936583333,122947683.0,-2.60589922333
24,57028158.2,0.211223808466,5,Tom Wilkinson,1.58787878788,285140791.0,1.05611904233
25,64459316.0,-0.56738714094,1,David Suchet,-0.56738714094,64459316.0,-0.56738714094
26,44233985.3333,0.243939064542,3,Seth MacFarlane,0.471461833333,132701956.0,0.731817193627
27,370349746.5,0.810538943375,2,Joseph Gordon-Levitt,0.82855531875,740699493.0,1.62107788675
28,88344888.75,1.5043805627,4,Lukas Haas,4.45833333333,353379555.0,6.01752225079
29,13505061.0,-0.110690895089,2,Roberts Blossom,0.196226428571,27010122.0,-0.221381790179
30,27617715.0,-0.131489350794,2,Michael Gaston,0.174443555556,55235430.0,-0.262978701587
31,17605861.0,1.93431016667,1,Abby Mukiibi Nkaaga,1.93431016667,17605861.0,1.93431016667
32,144812796.0,0.379169485714,2,Steve Bisley,0.379169485714,289625592.0,0.758338971429
33,45434443.0,-0.394207426667,1,Christian Berkel,-0.394207426667,45434443.0,-0.394207426667
34,126387110.5,1.28600548241,2,Brian Dennehy,2.19577434483,252774221.0,2.57201096483
35,50513597.25,1.41134843301,4,Nadine Velazquez,2.02416783871,202054389.0,5.64539373204
36,12314465.0,-0.0185545551932,3,Catherine McCormack,0.909167133333,36943395.0,-0.0556636655797
37,95720716.0,1.3930179,1,Parker Sawyers,1.3930179,95720716.0,1.3930179
38,115692852.0,1.77665223352,2,Jennifer Garner,2.16221578846,231385704.0,3.55330446703
39,37758975.3333,-0.19457976642,6,Stephen Root,0.29664436,226553852.0,-1.16747859852
40,77324422.0,1.97401623077,1,Jason Robards,1.97401623077,77324422.0,1.97401623077
41,66636385.0,-0.111514866667,1,Jud Tylor,-0.111514866667,66636385.0,-0.111514866667
42,42444080.3333,-0.237270379461,3,Frances Conroy,0.273743888889,127332241.0,-0.711811138384
43,100468793.0,0.545673738462,1,Andrea Savage,0.545673738462,100468793.0,0.545673738462
44,174141829.75,1.53881899874,8,Steve Coogan,3.9619094,1393134638.0,12.3105519899
45,72845605.0,0.221895208142,3,Bruce Davison,1.09732956,218536815.0,0.665685624426
